Name,Address,Number,Neighborhood
Pepsi On Stage,Av. Severo Dullius,1995,Anchieta
Auditório Araújo Vianna,Parque Farroupilha,685,Farroupilha
Opinião,R. José do Patrocínio,834,Cidade Baixa
Estádio Beira-Rio,Av. Padre Cacique,891,Praia de Belas
Arena do Grêmio,Av. Padre Leopoldo Brentano,110,Humaitá
Theatro São Pedro,Praça Mal. Deodoro,S/N,Centro Histórico
Multipalco Eva Sopher,Praça Mal. Deodoro,S/N,Centro Histórico
Ginásio Gigantinho,Avenida Padre Cacique,891,Praia de Belas
Anfiteatro Pôr-do-Sol,Av. Edvaldo Pereira Paiva,S/N,Praia de Belas
Teatro AMRIGS,Av. Ipiranga,5311,Partenon
Centro de Eventos FIERGS,Av. Assis Brasil,8787,Sarandi
Centro de Eventos da PUCRS,Av. Ipiranga,6681,Partenon
Estádio Passo D'areia São José,R. Padre Hildebrando,1100,Santa Maria Goretti
Teatro do Sesi,Av. Assis Brasil,8787,Sarandi
Teatro CIEE,R. Dom Pedro II,861,São João
Teatro Bourbon Country,Av. Túlio de Rose,80,Jardim Europa
Teatro Renascença,Av. Erico Veríssimo,307,Azenha
Casa da Ospa,Av. Borges de Medeiros,1501,Cidade Baixa
CHC Santa Casa,Av. Independência,75,Independência
Bar Ocidente,Av. Osvaldo Aranha,960,Bom Fim
Agulha,R. Conselheiro Camargo,300,São Geraldo
Espaço Cultural 512,R. João Alfredo,512,Cidade Baixa
Boteco Matita Perê,R. João Alfredo,626,Cidade Baixa
Bate,R. João Alfredo,701,Cidade Baixa
Margot Bar & Club,R. João Alfredo,577,Cidade Baixa
Clube Silêncio,R. João Alfredo,449,Cidade Baixa
Divina Comédia,R. da República,649,Cidade Baixa
Sunset Beira-Rio,Av. Edvaldo Pereira Paiva,4007,Praia de Belas
Casa de Cultura Mario Quintana,R. dos Andradas,736,Centro Histórico
Cabaret,Rua 7 de Setembro,708,Centro Histórico
Club 688,R. Siqueira Campos,688,Centro Histórico
Museu de Arte do Rio Grande do Sul,Praça da Alfândega,S/N,Centro Histórico
Fundação Iberê,Av. Padre Cacique,2000,Cristal
Museu de Ciências e Tecnologia,Av. Ipiranga,6681,Partenon
Provocateur,R. Silva Jardim,331,Mont'Serrat
72 New York,Av. Nova York,72,Auxiliadora
Cine Theatro Ypiranga,Av. Cristóvão Colombo,772,Floresta
300 Cosmo Dining Room,R. Marquês do Pombal,300,Moinhos de Vento
Bambas da Orgia, R. Voluntários da Pátria,1387,Floresta
Imperadores do Samba,Av. Padre Cacique,1567,Praia de Belas
Academia De Samba Praiana,Av. Padre Cacique,1559,Praia de Belas
Sui Rooftop,Rua Dr. Vale,579,Moinhos de Vento
Espaço Unisinos,Av. Dr. Nilo Peçanha,1500,Boa Vista
Espaço Maestro,R. Dr. Barcelos,570,Tristeza
Céu Bar + Arte,R. Gen. Lima e Silva,1487,Azenha
Complex Skatepark,Av. Protásio Alves,3839,Petrópolis
BarraShoppingSul,Av. Diário de Notícias,300,Cristal
Instituto Ling,R. João Caetano,440,Três Figueiras
Casa do Gaúcho,R. Otávio Francisco Caruso da Rocha,301,Centro Histórico
Vila Flores, R. São Carlos,753,Floresta
Fuga Bar,R. Álvaro Chaves,91,Floresta
